(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	3/3	604/604	match
00514292__xlsx	9/9	845/846	match
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	21/21	2381/2372	match
16424782563923__xlsx	3/3	843/843	match
18-02RD301_ILS_components_Master_9-13-18__xls	166/166	53359/53360	match
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	3/3	537/537	match
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	5/5	643/643	match
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx	19/19	3254/3253	match
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	5/5	2363/2363	match
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	5/5	2363/2363	match
2023-qhp-form-and-rate-combined-checklist-final__xlsx	100/100	14063/14051	match
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx	35/35	13491/13547	match
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls	6/6	1508/1508	match
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx	217/217	122852/122848	match
6f9e605c-fded-11e3-bd0e-00144feab7de__xls	16/16	7418/7418	match
7-memento-2015-transports-aeriens-b__xls	190/191	28848/28846	pages
ACRONYM__xls	69/69	9848/9848	match
AFCforPtF-Digital-Certificate-Publication-Report__xlsx	111/111	29859/29859	match
AFS-400_Contacts__xlsx	48/48	6369/6368	match
AIM_OPR_LIST__xls	229/229	22100/22099	match
AIRBUS_station_evaluation_checklist_v2__xlsx	1/1	544/544	match
AMOC-Digital-Certificate-Publication-Report__xlsx	148/148	36972/36961	match
Air_Boss_Master_List__xlsx	5/5	530/527	match
Aircraft_Database__xlsx	134/134	16520/16520	match
Airplanes-MTOW__xls	6/6	871/871	match
Application_Compliance_Checklist_5_Apr_2021__xlsx	14/14	17678/17718	match
Application_for_authorisation_as_crowdfunding_service_provider__xlsx	48/48	6245/6245	match
Aviation_Abbreviations__xlsx	94/94	15700/15700	match
Background_Declaration_Template__xls	25/25	181/181	match
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx	5/5	541/541	match
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls	109/109	16201/17503	words
CSA_CCM_v1.2__xls	13/13	15958/15852	match
CSJU List of Recipients of funds 2013-2020__xlsx	97/96	55219/55219	pages
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted__xlsx	147/147	29916/29920	match
Chicago.List.2025__xlsx	3/3	1333/1348	match
Company_Seniority_Date_Calculator__xlsx	12/12	3092/3109	match
Computer and Software Services_50 State Comparison__xlsx	26/26	2818/2819	match
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14__xlsx	245/245	28967/28967	match
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx	91/91	15623/15623	match
Data-Architecture-Tool-Fit-Assessment-Template__xlsx	22/22	2229/2231	match
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0__xlsx	114/114	32485/34835	words
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31__xlsx	92/92	29878/29903	match
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36__xlsx	254/254	30582/30582	match
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32__xlsx	19/19	4994/5234	words
EASA_PRODUCT_LIST_-_ALL__xlsx	264/264	99831/99831	match
ECA Sinters__xls	163/163	38347/38651	match
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	24/24	8373/8382	match
EU_145s_with_TCCA_approval_-_31.01.2025__xlsx	14/14	2463/2463	match
Estero Rotary Awards__xlsx	2/2	213/213	match
ExampleWhiteListData__xlsx	6/6	821/821	match
FAA-2019-0995-0002_attachment_2__xlsx	32/33	10153/10245	pages
FMMO_NMPF_37C__xlsx	1/1	216/216	match
FY2018_Q4_UAS_Sightings__xlsx	304/302	57888/56495	pages,words
FY2021-AIP-grants__xlsx	58/58	156667/156662	match
FY2023-AIP-grants__xlsx	33/33	92159/91849	match
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	16/16	1505/1504	match
Geo_Abschlussarbeiten__xlsx	3/3	636/636	match
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx	567/567	75611/75609	match
Hazard Analysis Template__xls	3/3	682/682	match
INDEX_Digital_Transformation_Toolkits__xls	24/24	1982/1982	match
Infotabelle_WLAN im Flugzeug__xlsx	4/4	405/406	match
Keywords_Mapping_Graphs_and_Charts__xlsx	46/46	4635/4808	words
Laser Report 2024 FOIA __Oct (1)__xlsx	506/506	116223/116275	match
List of EQS securities_0__xls	104/104	33117/33117	match
List-of-Members-August-2017__xlsx	10/10	1701/1701	match
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls	5/5	1363/1363	match
MajCh-Digital-Certificate-Publication-Report__xlsx	328/328	67261/67262	match
MinCh-Digital-Certificate-Publication-Report__xlsx	179/179	112674/112672	match
NAARMO_Mexico_RVSM_Approvals__xlsx	16/16	6792/6792	match
NPA_21_21_Sentenced_Comments__xls	2/2	974/982	match
NPIAS_2007_App_A__xls	128/128	39806/39805	match
NPIAS_App_A__xls	124/124	33644/33644	match
National-Finalists-2024-1__xlsx	30/30	4184/4184	match
National-Reports__xlsx	6/6	1276/1276	match
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1__xls	8/8	760/760	match
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx	154/175	16758/16970	pages
P1636e__xls	2/2	344/344	match
PA_Delaware__xls	122/122	135663/135663	match
PBN Matrix NAAs (V01)__xlsx	25/25	5558/5557	match
PC1000__xls	13/13	864/873	match
Part_129_Operators__xlsx	23/23	4275/4277	match
