path	verdict	page	dominant	gdelta	only_ours	only_ref	blank_ref	size	box	width	face	glyphs	colour	shows
words/batch-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	match	1	glyphs	9	140	178	5	2	0	2	1	3	0	4
words/batch-017/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	match	1	one-sided	0	0	7	7	0	0	0	0	0	0	5
words/batch-007/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	match	1	glyphs	1	2	17	6	0	0	0	0	6	0	1
words/batch-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	match	1	glyphs	78	29	6	6	0	0	0	2	16	0	29
words/batch-003/doc/10795.doc	match	1	glyphs	61	30	33	2	0	7	0	1	19	0	14
words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	match	1	glyphs	15	4	16	11	0	0	0	0	2	0	7
words/batch-014/doc/Reid.doc	match	1	size	58	45	80	20	2	0	2	1	2	0	1
words/batch-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	match	1	glyphs	17	9	46	34	0	0	0	8	14	0	34
words/batch-004/docx/461249.docx	match	1	glyphs	67	50	33	2	0	0	0	0	5	0	0
words/batch-011/docx/part-145-approval list 2025.docx	match	1	box	28	47	144	4	0	15	0	0	12	0	13
words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx	match	1	glyphs	17	3	3	2	0	0	0	0	15	0	28
words/batch-015/docx/hdss-bulletin-issue-285-25-june-2025.docx	match	1	one-sided	0	123	83	9	0	0	0	0	0	0	0
words/batch-002/docx/easa-form-1.docx	match	1	glyphs	5	11	23	2	0	0	0	0	6	0	14
words/batch-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	match	1	glyphs	56	13	21	12	0	0	0	3	4	0	7
words/batch-003/docx/Technical_Issue_Report_Form.docx	match	1	glyphs	31	129	150	4	1	1	1	0	10	0	5
words/batch-004/docx/1528039320.docx	match	1	glyphs	97	52	87	0	1	0	1	0	17	0	24
words/batch-018/docx/t_TEMPforInvProgs.docx	match	1	glyphs	15	5	2	0	0	0	1	0	3	0	2
words/batch-011/docx/part-145-approval list (1).docx	match	1	box	48	44	158	4	0	17	0	0	3	0	15
words/batch-010/docx/Writing a technical report (SCE subject guide).docx	match	1	glyphs	12	5	2	2	0	0	0	3	18	0	20
words/batch-016/doc/SFSP_2013-02_Bulletin.doc	match	1	glyphs	35	26	42	6	0	0	0	6	14	0	4
words/batch-018/docx/airbus-pdf-information-package_v1-4.docx	match	1	glyphs	15	6	11	2	0	0	0	0	2	0	0
words/batch-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	match	1	glyphs	95	3	93	8	0	2	0	9	18	0	11
words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc	match	1	glyphs	1	0	2	2	0	0	0	0	8	0	0
words/batch-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	match	1	face	44	67	100	6	0	0	0	15	7	0	11
words/batch-003/docx/191216_Lesefassung_Nachtflugregelung.docx	match	1	glyphs	63	74	68	11	0	0	0	0	6	0	0
words/batch-011/docx/tibs_guidelines_2.docx	match	1	one-sided	0	5	1	1	0	0	0	0	0	0	0
words/batch-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	match	1	glyphs	2	3	21	7	0	0	0	0	8	0	0
words/batch-011/doc/1528364855.doc	match	1	glyphs	78	174	443	19	1	0	1	1	4	0	0
words/batch-006/doc/003.doc	match	1	one-sided	0	15	17	6	0	0	0	0	0	0	0
words/batch-007/docx/johnson_hall_service_log.pdf.docx	match	1	glyphs	88	62	10	1	0	0	0	1	20	0	12
