path	verdict	pages	first_page	of	ink	dominant	gdelta	only_ours	only_ref	blank_ref	counts
words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc	match	7/7		7	0.00		0	0	0	0	
words/batch-001/doc/GLACIERBG.ETT.doc	match	1/1		1	0.00		0	0	0	0	
words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	match	1/1		1	0.00		0	0	0	0	
words/batch-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	match	2/2		2	0.00		0	0	0	0	
words/batch-001/doc/foca_form_1.doc	match	3/3		3	0.00		0	0	0	0	
words/batch-001/docx/CMTA_Airport_Transportation.docx	match	1/1		1	0.00		0	0	0	0	
words/batch-001/docx/Pre-Application_Letter_of_Intent_Example.docx	match	1/1		1	0.00		0	0	0	0	
words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx	match	1/1		1	0.00		0	0	0	0	
words/batch-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	match	1/1		1	0.00		0	0	0	0	
words/batch-001/docx/private-hire-operators-licensed.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-002/doc/Bull01-06-Reserve Training Standards.doc	match	6/6		6	0.00		0	0	0	0	
words/batch-002/doc/FMRBullletinB-28.doc	match	2/2		2	0.00		0	0	0	0	
words/batch-002/doc/prison-population-bulletin-june.doc	match	4/4		4	0.00		0	0	0	0	
words/batch-002/docx/AUWG min 4-3-24 final.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-002/docx/FAA-High-Level-Org-Chart.docx	match	3/3		3	0.00		0	0	0	0	
words/batch-002/docx/Interview-mit-Manfred1-Müller.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-002/docx/easa-form-1.docx	match	5/5	4	5	0.45	glyphs	169	52	39	1	box=4,glyphs=12
words/batch-002/docx/lk03_17.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-002/docx/s33song-beverlyactproductionofdocuments.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-003/doc/10795.doc	match	4/4		4	0.00		0	0	0	0	
words/batch-003/doc/96-3-clement-data.doc	match	7/7		7	0.00		0	0	0	0	
words/batch-003/doc/DEP2008-1900.doc	match	4/4	3	4	0.51	glyphs	82	32	41	7	face=3,glyphs=12
words/batch-003/doc/II.1.2_Hypoxia.doc	match	13/13		13	0.00		0	0	0	0	
words/batch-003/doc/Temp16.doc	match	2/2		2	0.00		0	0	0	0	
words/batch-003/docx/191216_Lesefassung_Nachtflugregelung.docx	match	3/3		3	0.00		0	0	0	0	
words/batch-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	match	5/5		5	0.00		0	0	0	0	
words/batch-003/docx/DRX-Ascend System Course Description.docx	match	2/2		2	0.00		0	0	0	0	
words/batch-003/docx/Technical_Issue_Report_Form.docx	match	2/2	1	2	0.75	glyphs	31	129	151	4	size=1,box=1,width=1,glyphs=9
words/batch-003/docx/mde087077~283.docx	match	4/4	1	4	1.67	glyphs	83	50	50	4	face=3,glyphs=22
words/batch-004/doc/07-04.doc	match	3/3		3	0.00		0	0	0	0	
words/batch-004/doc/1447.doc	match	3/3		3	0.00		0	0	0	0	
words/batch-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	match	3/3		3	0.00		0	0	0	0	
words/batch-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	match	5/5		5	0.00		0	0	0	0	
