probe           L.model    L.ink     ours     dL  B.model    B.ink     ours     dB     dR     dT
band-bare-nolabels   108.06   108.06   108.45   0.39    76.27    76.31    76.30   0.03   0.00  -0.48
band-bare-nothing    79.37    79.37    80.09   0.72    76.27    76.31    76.30   0.03   0.00  -0.01
band-bare-notitle    79.37    79.37    80.09   0.72    88.97    89.01    89.06   0.09   0.00  -0.04
band-bare        108.06   108.06   108.45   0.39    88.97    89.01    89.06   0.09   0.00  -0.48
band-cats-12     108.06   108.06   108.45   0.39    88.97    89.01    89.06   0.09   0.00  -0.48
band-cats-26     108.06   108.06   108.45   0.39   110.06   110.10   118.00   7.94   0.00  -0.48
band-full-b      108.06   108.06   108.45   0.39   139.00   139.04   138.83  -0.17   0.00  -0.48
band-labels-07   108.06   108.06   103.04  -5.02    85.22    85.27    85.66   0.44   0.00   1.22
band-labels-14   108.06   108.06   115.64   7.58    94.21    94.25    93.56  -0.65   0.00  -2.73
band-nocattitle   108.06   108.06   108.45   0.39   111.16   111.20   111.33   0.17   0.00  -0.45
band-noleg       108.06   108.06   108.45   0.39   116.80   116.84   116.57  -0.23   0.00  -0.48
