      0x0001          ar
      0x0002          bg
      0x0003          ca
      0x0004          zh-Hans
      0x0005          cs
      0x0006          da
      0x0007          de
      0x0008          el
      0x0009          en
      0x000a          es
      0x000b          fi
      0x000c          fr
      0x000d          he
      0x000e          hu
      0x000f          is
      0x0010          it
      0x0011          ja
      0x0012          ko
      0x0013          nl
      0x0014          no
      0x0015          pl
      0x0016          pt
      0x0017          rm
      0x0018          ro
      0x0019          ru
      0x001a          bs, hr, or sr
      0x001b          sk
      0x001c          sq
      0x001d          sv
      0x001e          th
      0x001f          tr
      0x0020          ur
      0x0021          id
      0x0022          uk
      0x0023          be
      0x0024          sl
      0x0025          et
      0x0026          lv
      0x0027          lt
      0x0028          tg
      0x0029          fa
      0x002a          vi
      0x002b          hy
      0x002c          az
      0x002d          eu
      0x002e          dsb or hsb
      0x002f          mk
      0x0030          st
      0x0031          ts
      0x0032          tn
      0x0033          ve
      0x0034          xh
      0x0035          zu
      0x0036          af
      0x0037          ka
      0x0038          fo
      0x0039          hi
      0x003a          mt
      0x003b          se
      0x003c          ga
      0x003d          yi, reserved
      0x003e          ms
      0x003f          kk
      0x0040          ky
      0x0041          sw
      0x0042          tk
      0x0043          uz
      0x0044          tt
      0x0045          bn
      0x0046          pa
      0x0047          gu
      0x0048          or
      0x0049          ta
      0x004a          te
      0x004b          kn
      0x004c          ml
      0x004d          as
      0x004e          mr
      0x004f          sa
      0x0050          mn
      0x0051          bo
      0x0052          cy
      0x0053          km
      0x0054          lo
      0x0055          my
      0x0056          gl
      0x0057          kok
      0x0058          mni, reserved
      0x0059          sd
      0x005a          syr
      0x005b          si
      0x005c          chr
      0x005d          iu
      0x005e          am
      0x005f          tzm
      0x0060          ks
      0x0061          ne
      0x0062          fy
      0x0063          ps
      0x0064          fil
      0x0065          dv
      0x0066          bin, reserved
      0x0067          ff
      0x0068          ha
      0x0069          ibb, reserved
      0x006a          yo
      0x006b          quz
      0x006c          nso
      0x006d          ba
      0x006e          lb
      0x006f          kl
      0x0070          ig
      0x0071          kr, reserved
      0x0072          om
      0x0073          ti
      0x0074          gn
      0x0075          haw
      0x0076          la, reserved
      0x0077          so, reserved
      0x0078          ii
      0x0079          pap, reserved
      0x007a          arn
      0x007b          Neither defined nor reserved
      0x007c          moh
      0x007d          Neither defined nor reserved
      0x007e          br
      0x007f          Reserved for invariant locale behavior
      0x0080          ug
      0x0081          mi
      0x0082          oc
      0x0083          co
      0x0084          gsw
      0x0085          sah
      0x0086          qut
      0x0087          rw
      0x0088          wo
      0x0089          Neither defined nor reserved
      0x008a          Neither defined nor reserved
